player_id,first_name,last_name,position,team_id,game_id,league,toi,time_on_ice,goals,assists,points,shots,hits,blocked_shots,penalty_minutes,plus_minus,faceoff_attempts,faceoff_wins,faceoff_losses,faceoff_pct,starting
61,Hayley,Scamurra,F,5,3,pwhl,18:06:00,18.1,1,0,1,4,0,0,0,-2,19,6,13,0.3157894736842105,1
56,Savannah,Harmon,D,5,3,pwhl,21:17:00,21.3,0,0,0,1,0,0,0,-3,0,0,0,NA,0
88,Kateřina,Mrázová,F,5,3,pwhl,13:33:00,13.6,1,0,1,2,0,0,0,1,9,3,6,0.3333333333333333,0
57,Gabbie,Hughes,F,5,3,pwhl,18:10:00,18.2,0,0,0,3,0,0,0,-1,18,7,11,0.3888888888888889,0
58,Brianne,Jenner,F,5,3,pwhl,17:47:00,17.8,0,0,0,3,0,0,2,-2,3,0,3,0,1
50,Ashton,Bell,D,5,3,pwhl,20:28:00,20.5,0,2,2,0,0,0,0,1,0,0,0,NA,1
54,Kristin,Della Rovere,F,5,3,pwhl,10:01:00,10,0,0,0,0,0,0,0,0,1,0,1,0,0
53,Emily,Clark,F,5,3,pwhl,18:34:00,18.6,0,0,0,1,0,0,0,-1,0,0,0,NA,0
51,Amanda,Boulier,D,5,3,pwhl,18:40:00,18.7,0,0,0,1,0,0,0,-1,0,0,0,NA,0
60,Jincy,Roese,D,5,3,pwhl,20:33:00,20.6,0,0,0,2,0,0,0,0,0,0,0,NA,0
49,Lexie,Adzija,F,5,3,pwhl,10:35:00,10.6,0,1,1,2,0,0,0,0,0,0,0,NA,0
137,Fanni,Garát-Gasparics,F,5,3,pwhl,09:23:00,9.4,0,0,0,3,0,0,0,0,0,0,0,NA,0
99,Mariah,Keopple,D,3,3,pwhl,10:52:00,10.9,0,0,0,0,0,0,0,0,0,0,0,NA,0
163,Catherine,Daoust,D,3,3,pwhl,13:44:00,13.7,0,0,0,1,0,0,0,0,0,0,0,NA,0
32,Laura,Stacey,F,3,3,pwhl,19:23:00,19.4,1,0,1,6,0,0,0,1,0,0,0,NA,0
156,Gabrielle,David,F,3,3,pwhl,24:34:00,24.6,0,0,0,1,0,0,0,0,0,0,0,NA,0
84,Kati,Tabin,D,3,3,pwhl,20:59:00,21,0,1,1,2,0,0,0,3,0,0,0,NA,1
164,Brigitte,Laganière,D,3,3,pwhl,24:48:00,24.8,0,0,0,0,0,0,0,0,0,0,0,NA,0
159,Leah,Lum,F,3,3,pwhl,14:09:00,14.2,0,0,0,0,0,0,2,0,0,0,0,NA,0
27,Jillian,Dempsey,F,3,3,pwhl,09:51:00,9.8,0,1,1,0,0,0,0,1,1,1,0,1,0
98,Maureen,Murphy,F,3,3,pwhl,30:21:00,30.4,0,0,0,0,0,0,0,-1,0,0,0,NA,1
158,Sarah,Lefort,F,3,3,pwhl,10:46:00,10.8,0,0,0,3,0,0,0,0,0,0,0,NA,0
