game,shots
2,57
3,50
4,51
5,68
6,46
9,67
8,61
10,50
11,51
12,65
13,62
15,43
14,54
16,52
17,60
18,51
19,70
20,72
21,49
22,62
23,35
24,64
25,53
26,69
27,51
29,53
28,48
30,54
31,53
32,53
33,42
83,65
34,53
35,36
36,56
37,56
38,64
40,51
39,56
41,50
42,66
43,66
44,64
46,59
45,52
47,56
48,64
49,69
50,44
51,61
65,47
66,44
53,55
52,50
54,47
55,52
56,65
57,45
58,65
67,71
68,63
59,57
60,58
69,47
62,54
70,62
61,62
71,65
